class,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1,1474725,53373,6853,6853,27678,16635,2991,5092
1,1074857,66875,8470,8470,4701,6283,2723,2171
1,1246612,37420,8275,8275,6311,5881,473,592
1,18965,7745,3486,3486,3053,1834,474,1926
1,136756,8708,3445,3445,4760,2676,602,998
1,10418,7862,2571,2571,2356,1921,331,1561
1,1615728,70437,54246,54246,39973,35037,5970,6634
1,2180439,90505,48701,48701,51977,17040,5196,3294
1,802891,76999,18100,18100,11210,14862,1993,5722
1,61738,15279,1440,1440,1900,1768,364,1016
1,563425,276078,21448,21448,9028,8779,4002,9456
1,434418,228083,72621,72621,23652,9907,4254,3092
1,238973,64889,15512,15512,3880,3942,1202,1695
1,400301,17797,14279,14279,16761,11663,2474,7126
1,704428,58347,724,724,23054,31687,2967,7862
1,100985,82263,33505,33505,8171,8595,2483,2364
1,58602,7060,8084,8084,8886,3991,806,1138
1,602014,35196,11149,11149,4894,4993,540,822
1,64296,9792,1726,1726,1444,725,250,273
1,64039,13881,1667,1667,3060,1020,893,486
1,83029,18343,2861,2861,2438,1119,196,608
1,89827,48271,1807,1807,6201,16761,4423,2904
1,107029,26871,1853,1853,2575,1712,647,1535
1,1083558,36247,13482,13482,16134,7085,2249,2771
1,72572,9276,1339,1339,2068,725,133,182
1,3023330,184605,42265,42265,16846,10953,2677,4231
1,30030,4073,2115,2115,2913,2794,485,2277
1,1149558,225649,3725,3725,10044,9003,3065,6633
1,77789,106508,25394,25394,18792,25805,3195,11839
1,2091630,67679,3733,3733,3660,3146,974,2578
1,18413,9689,2446,2446,2862,1973,1339,2002
1,659954,11455,14278,14278,3365,3014,1160,2029
1,97345,18875,28091,28091,9180,4295,7108,3948
1,144114,10263,8832,8832,5383,3580,1311,1352
1,7950,1131,4288,4288,1890,1346,400,9863
1,3024,1956,8398,8398,2100,3385,570,9574
1,677719,27983,33308,33308,38250,32766,8438,47557
1,549567,100014,30596,30596,24666,13927,7474,61320
1,2764,11013,3478,3478,2985,1140,654,17193
1,6825,3428,8898,8898,1131,1843,373,19139
1,7257,6892,11101,11101,2007,1390,653,16188
1,121730,63461,2476,2476,4850,1959,1026,15256
1,30482,21068,2284,2284,3100,6032,576,16257
1,25214,21155,8335,8335,3319,3103,363,15339
1,73214,101171,4625,4625,6700,1671,2382,12964
1,49905,28774,594,594,546,723,389,4323
1,67713,25488,3474,3474,1098,1898,595,2005
1,62473,28165,7313,7313,2465,1252,779,153613
1,2120536,46731,41429,41429,5079,6473,4639,524249
1,441526,14942,16598,16598,2633,2052,349,151424
1,19940,5698,617,617,1809,2048,590,137170
1,827868,38051,20289,20289,2081,2614,473,140952
1,786235,20148,4969,4969,2080,1907,1162,119700
1,195853,17795,2428,2428,1838,4123,478,136457
1,1089372,36278,33674,33674,8597,6103,3599,493215
1,301842,177553,26878,26878,15533,4680,3060,522117
1,722555,65875,5214,5214,9609,4896,7148,453793
1,313442,88986,18673,18673,13600,10325,2423,412681
1,456764,139506,13898,13898,15037,6831,3262,495348
1,655155,109766,30369,30369,7083,7831,2429,355679
1,3627,2314,5320,5320,3034,2094,784,107103
1,34867,49800,8375,8375,7068,6065,2777,415214
1,2190,15254,2022,2022,1663,1096,598,92690
1,327576,37513,6037,6037,7418,5670,2484,379140
1,40093,25090,22920,22920,10221,8408,1726,387081
1,101532,118034,14615,14615,4147,5862,2230,345353
1,38466,24086,8701,8701,1256,765,837,78889
1,1729,8396,4153,4153,827,3322,870,79388
1,609265,119345,17628,17628,3933,14559,2338,319326
1,59214,6245,5383,5383,1908,2360,233,74154
1,1558,4970,6461,6461,3489,1548,596,71460
1,951,11748,1511,1511,2438,1027,477,73404
1,499046,61542,41048,41048,4726,5314,3181,267841
1,374261,94694,14191,14191,10849,9003,4834,291134
1,7378,10780,9335,9335,6172,5015,786,62073
1,4283,4066,4509,4509,1907,1349,690,51451
1,36839,20119,5927,5927,3376,2575,1052,54081
1,68411,9387,2496,2496,4149,1192,1802,48339
1,18414,19631,2780,2780,1887,2050,931,57390
1,133630,78160,36269,36269,28129,8890,5787,211581
1,6738,15950,3554,3554,2033,1520,605,49677
1,27369,7480,3122,3122,12246,2431,766,56291
1,3122,2253,1307,1307,2184,1105,368,55452
1,2203,767,486,486,2954,1323,374,63092
1,715,1045,4027,4027,3927,1302,451,54231
1,1456,1271,446,446,1925,1122,617,56305
1,1725,563,2587,2587,2321,1568,419,50984
1,2899,5297,972,972,1398,1115,285,48211
1,56721,10722,13601,13601,4187,3343,457,53987
1,3232,3755,1284,1284,2058,2059,536,50953
1,594,3266,4668,4668,4039,763,497,48864
1,1997,1123,671,671,1054,898,497,46826
1,19239,9217,2257,2257,3323,2886,657,44498
1,111280,15475,2450,2450,12482,3172,422,48608
1,1798254,126821,31098,31098,28777,15232,5534,162467
1,245954,103830,32668,32668,24670,7867,2966,139061
1,12085,19354,5045,5045,1759,2649,322,38074
1,40928,18904,4491,4491,921,1742,871,40202
1,2199,4012,692,692,2490,2017,770,35002
1,30316,5899,8852,8852,3023,2987,775,24678
1,43375,12200,1763,1763,11105,2790,778,21905
1,5574,13461,1869,1869,2947,1931,275,24000
1,8991,7943,2720,2720,2176,1947,370,18999
1,4835,9324,1036,1036,4890,2637,556,16798
1,356393,29931,623,623,2375,2423,2001,18285
1,13695,3587,3806,3806,2474,1914,1223,18662
1,544838,29593,4933,4933,5943,3846,1515,13602
1,487029,124175,31010,31010,36989,4916,1984,73193
1,21443,8740,825,825,2237,1756,824,19419
1,72921,23823,1835,1835,3018,2663,503,13949
1,15525,7169,4486,4486,5858,4559,688,14812
1,169886,52630,19412,19412,2491,2017,1271,17214
1,23270,11688,4408,4408,2256,1398,939,17884
1,9798,4701,1331,1331,2758,1384,303,19346
1,896378,277954,80447,80447,82502,28798,6059,43500
1,760519,262096,35114,35114,20452,21770,15407,19067
1,45606,21768,1897,1897,7874,2936,1775,7965
1,72997,18753,6413,6413,1841,6365,2219,22685
1,1204413,414286,51231,51231,62286,14982,5301,49609
1,200499,8527,26228,26228,10349,3308,724,12502
1,77099,19123,2161,2161,4827,4149,557,10927
1,97942,19304,2952,2952,5697,1911,424,9682
1,3940,4326,5912,5912,1523,4271,693,8535
1,48762,15841,2917,2917,918,4481,821,16891
1,406155,43209,12701,12701,7334,2802,1087,17373
1,377295,82722,34286,34286,37991,14750,7711,100292
1,3492,9478,2705,2705,4963,2133,917,21284
1,316239,259241,93367,93367,22825,9283,4694,99210
1,416184,137349,80039,80039,49195,16687,6507,105444
1,132674,23591,16802,16802,8688,4406,1365,29304
1,33244,25715,10233,10233,3097,3201,1039,26997
1,16982,68824,85930,85930,20196,19461,2715,95036
1,16380,3149,23323,23323,7286,2914,1164,23287
1,503749,41289,3052,3052,58197,9726,1583,65080
1,9165,5492,4150,4150,4771,1397,635,22171
1,201599,2367,2740,2740,6826,1966,749,25276
1,10328,1219,1559,1559,2128,2756,372,22792
1,5139,5608,7996,7996,7096,2234,415,23163
1,9087,3539,4328,4328,2162,1653,682,21296
1,49461,11723,3508,3508,574,1168,226,4173
1,11455,927,6822,6822,3158,1951,948,19186
1,6695,11542,1697,1697,2228,1323,382,19739
1,26436,6406,1893,1893,563,698,125,3030
1,27262,6652,1481,1481,2259,1514,418,10294
1,25787,10661,1283,1283,4022,1632,1115,10529
1,26225,14316,18054,18054,1943,1784,509,9230
1,3115,4410,2373,2373,1382,2766,1134,10282
1,945,3456,371,371,2728,1184,372,7938
1,53990,18573,8463,8463,8614,3485,766,8292
1,9877,6226,8654,8654,1921,5777,1108,10293
1,13872,5466,1945,1945,4232,4828,337,8280
1,4662,1693,4404,4404,2328,1999,406,9603
1,3345,1496,3086,3086,2862,812,628,5747
1,1886,1996,2073,2073,4180,1930,510,7230
1,14028,9173,7429,7429,3825,1696,1419,8636
1,150601,9572,3206,3206,4915,1407,513,8284
1,3666,8753,2964,2964,2353,1792,407,8297
1,185510,36627,11672,11672,4572,1267,1536,7816
1,109816,18001,2643,2643,5426,3225,652,7150
1,3201,3550,4127,4127,1465,3015,826,9052
1,162006,29143,29806,29806,16260,3913,482,6196
1,7026,6056,5202,5202,2118,2313,655,7461
1,746274,81446,30099,30099,7883,17706,1184,24588
1,3836,5008,472,472,2086,2138,357,8863
1,45962,22041,1196,1196,3384,2170,843,5161
1,2041,3116,3010,3010,3527,1394,304,6325
1,2350,1708,280,280,6519,2163,592,5785
1,489816,75189,3155,3155,44970,10054,1092,27245
1,1035020,47857,27178,27178,26883,5132,2810,20814
1,29898,22015,16098,16098,2177,1994,879,6546
1,3839,6533,3425,3425,1638,2057,642,10377
1,62917,16597,3058,3058,6045,5437,966,10502
1,3030,1855,4386,4386,2587,2414,296,15352
1,60995,33653,16295,16295,8829,3284,917,13051
1,6804,14511,2311,2311,4750,1585,294,16590
1,14434,7663,2615,2615,1662,3825,598,14847
1,10118,16632,6235,6235,3573,1590,405,15040
1,11725,10878,2438,2438,1835,1018,1288,12562
1,13197,4714,8351,8351,2886,3823,507,15544
1,2400,10126,2514,2514,3057,877,566,13107
1,2133,10426,2692,2692,1286,1872,429,15396
1,12079,13331,10838,10838,3588,3152,703,15013
1,5269,5295,1986,1986,2542,1725,406,12291
1,8378,3665,7724,7724,3298,3658,625,13269
1,53750,2728,1168,1168,1845,487,143,4370
1,7813,3548,1720,1720,3552,1049,615,9590
1,80580,37198,10257,10257,1493,3786,472,8567
1,68529,11165,8865,8865,6051,5492,776,9256
1,195514,100735,34011,34011,10359,10965,5651,39210
1,4680,5381,4827,4827,3119,2798,1008,11693
1,10018,8919,590,590,1540,932,491,11809
1,5881,4845,3187,3187,7791,1201,362,12608
1,53238,20332,1527,1527,867,1717,208,2808
1,67468,14655,10643,10643,3326,3080,723,15054
1,48315,14213,8686,8686,3310,1605,729,7890
1,49363,24396,2922,2922,2845,5179,2378,7583
1,100521,8212,1611,1611,3813,2459,448,16804
1,270747,31255,10800,10800,9474,2742,1678,14794
1,49347,30203,7724,7724,8413,8225,3442,9614
1,6296,5953,3483,3483,3633,1422,524,12037
1,2029,2883,3969,3969,4575,1326,442,12097
1,1940,4536,12744,12744,2605,2589,232,17022
1,1986,17692,2742,2742,4093,2591,1451,13169
1,477716,166277,2037,2037,5199,7942,2840,57912
1,8005,11877,8192,8192,5820,2762,465,13032
1,308694,255623,34610,34610,25037,17790,26368,78112
1,565203,306162,93881,93881,21320,44950,15397,55105
